anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2021,42,La Pampa,29_2,Ley de fauna,1,
2021,42,La Pampa,29_3,Delitos migratorios,0,
2021,42,La Pampa,29_4,Obstrucción del código aduanero,0,
2021,42,La Pampa,29_5,Contrabando Simple,0,
2021,42,La Pampa,29_6,Contrabando Agravado,0,
2021,42,La Pampa,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,0,
2021,42,La Pampa,29_8,Otros delitos previstos en leyes especiales,1426,
2021,42,La Pampa,30,Contravenciones,109,
2021,42,La Pampa,31,Suicidios (consumados),35,35
2021,42,La Pampa,32,Delitos contra el orden económico y financiero,0,
2021,46,La Rioja,1,Homicidios dolosos,5,5
2021,46,La Rioja,2,Homicidios dolosos en grado de tentativa,2,2
2021,46,La Rioja,3,Muertes en Accidentes Viales,51,65
2021,46,La Rioja,4,Homicidios culposos por otros hechos,0,0
2021,46,La Rioja,5,Lesiones dolosas,304,306
2021,46,La Rioja,6,Lesiones culposas en Accidentes Viales,1758,2438
2021,46,La Rioja,7,Lesiones culposas por otros hechos,0,0
2021,46,La Rioja,8,Otros delitos contra las personas,1,1
2021,46,La Rioja,9,Delitos contra el honor,0,0
2021,46,La Rioja,10,Violaciones,19,19
2021,46,La Rioja,11,Otros delitos contra la integridad sexual,204,204
2021,46,La Rioja,12,Delitos contra el estado civil,0,
2021,46,La Rioja,13,Amenazas,244,
2021,46,La Rioja,14_1,Trata de personas simple,0,0
2021,46,La Rioja,14_2,Trata de personas agravado,0,0
2021,46,La Rioja,14_3,Otros delitos contra la libertad,15,15
2021,46,La Rioja,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),1624,
2021,46,La Rioja,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),120,
2021,46,La Rioja,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2021,46,La Rioja,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0,
2021,46,La Rioja,19,Hurtos,2311,
2021,46,La Rioja,20,Tentativas de hurto,62,
2021,46,La Rioja,21,Otros delitos contra la propiedad,761,
2021,46,La Rioja,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,0,
2021,46,La Rioja,22_2,Tenencia ilegal de armas de fuego,7,
2021,46,La Rioja,22_3,Portación ilegal de armas de fuego,0,
2021,46,La Rioja,22_4,Acopio y fabricación ilegal de armas piezas y municiones,0,
2021,46,La Rioja,22_5,Entrega y comercialización ilegal de armas de fuego,0,
2021,46,La Rioja,22_6,Omisión adulteración y supresión de marcaje,0,
2021,46,La Rioja,22_7,Otros delitos contra la seguridad pública,134,
2021,46,La Rioja,23,Delitos contra el orden público,1,
2021,46,La Rioja,24,Delitos contra la seguridad de la nación,0,
2021,46,La Rioja,25,Delitos contra los poderes públicos y el orden constitucional,0,
2021,46,La Rioja,26,Delitos contra la administración pública,47,
2021,46,La Rioja,27,Delitos contra la fe pública,7,
2021,46,La Rioja,28_1,Siembra y producción de estupefacientes,4,
2021,46,La Rioja,28_2,Comercialización y entrega de estupefacientes,5,
2021,46,La Rioja,28_3,Tenencia o entrega atenuada de estupefacientes,0,
2021,46,La Rioja,28_4,Desvío de Importación de estupefacientes,0,
2021,46,La Rioja,28_5,Organización y financiación de estupefacientes,0,
2021,46,La Rioja,28_6,Tenencia simple de estupefacientes,19,
2021,46,La Rioja,28_7,Tenencia simple atenuada para uso personal de estupefacientes,1,
2021,46,La Rioja,28_8,Confabulación de estupefacientes,0,
2021,46,La Rioja,28_9,Contrabando de estupefacientes,0,
2021,46,La Rioja,28_10,Otros delitos previstos en la ley 23.737,19,
2021,46,La Rioja,29_1,Ley de residuos peligrosos,1,
2021,46,La Rioja,29_2,Ley de fauna,71,
2021,46,La Rioja,29_3,Delitos migratorios,16,
2021,46,La Rioja,29_4,Obstrucción del código aduanero,0,
2021,46,La Rioja,29_5,Contrabando Simple,177,
2021,46,La Rioja,29_6,Contrabando Agravado,0,
2021,46,La Rioja,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,0,
2021,46,La Rioja,29_8,Otros delitos previstos en leyes especiales,1395,
2021,46,La Rioja,30,Contravenciones,2120,
2021,46,La Rioja,31,Suicidios (consumados),50,50
2021,46,La Rioja,32,Delitos contra el orden económico y financiero,1,
2021,50,Mendoza,1,Homicidios dolosos,81,85
2021,50,Mendoza,2,Homicidios dolosos en grado de tentativa,0,0
2021,50,Mendoza,3,Muertes en Accidentes Viales,104,111
2021,50,Mendoza,4,Homicidios culposos por otros hechos,113,115
2021,50,Mendoza,5,Lesiones dolosas,13013,13179
2021,50,Mendoza,6,Lesiones culposas en Accidentes Viales,108,110
2021,50,Mendoza,7,Lesiones culposas por otros hechos,7992,8001
